agency_id,agency_name,public_name,deputy_mayor_pillar,submit_plan,is_quasi,active
AGC1000,City Council,,Independent — Legislative Branch,true,false,true
AGC1100,City Council Services,,Independent — Legislative Branch,true,false,true
AGC1200,Comptroller,,Independent — Elected Comptroller (Bill Henry),true,false,true
AGC1311,Courts - Circuit Court,,Independent — Judicial Branch (Circuit Court),true,false,true
AGC1321,Courts - Orphans' Court,,Independent — Judicial Branch (Orphans Court),true,false,true
AGC1900,Board of Elections,,"Khalil Zaied — Deputy Mayor, Operations",true,false,true
AGC2100,Employees' Retirement Systems,Employees' Retirement Systems,Shamiah Kerney — Deputy City Administrator,true,true,true
AGC2300,Finance,,City Administrator — Faith Leach,true,false,true
AGC2500,Fire,,"Samuel Johnson — Asst. Deputy Mayor, Public Safety (Acting)",true,false,true
AGC2600,General Services,,"Khalil Zaied — Deputy Mayor, Operations",true,false,true
AGC2700,Health,,"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",true,false,true
AGC3100,Housing and Community Development,,"Calvin Young — Deputy Mayor, Community & Economic Development",true,false,true
AGC3300,Human Resources,,Shamiah Kerney — Deputy City Administrator,true,false,true
AGC3500,Law,,City Administrator — Faith Leach,true,false,true
AGC3700,Legislative Reference,,Independent — Legislative Branch,true,false,true
AGC3900,Enoch Pratt Free Library,Enoch Pratt Free Library,Chief of Staff — John David Merrill,true,true,true
AGC4100,Liquor License Board,Liquor Board,"Calvin Young — Deputy Mayor, Community & Economic Development",true,true,true
AGC4301,Mayoralty,Mayor's Office,Mayor's Office — Multiple portfolios,,false,true
AGC4303,M-R Office of Information and Technology,Baltimore City Information Technology (BCIT),Shamiah Kerney — Deputy City Administrator,true,false,true
AGC4306,M-R Contingent Fund,,Mayor's Office — Budget / Contingent Fund,false,false,true
AGC4307,M-R Innovation Fund,,Shamiah Kerney — Deputy City Administrator,false,false,true
AGC4308,M-R Office of the Inspector General,Office of the Inspector General,Independent — Inspector General,true,false,true
AGC4309,M-R Office of Children and Family Success,Office of Children and Family Success,"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",true,false,true
AGC4310,M-R Office of Small Minority Business Advocacy & Development,,"Calvin Young — Deputy Mayor, Community & Economic Development",true,false,true
AGC4311,M-R Miscellaneous General Expenses,,Mayor's Office — Budget / Misc. Expenses,false,false,true
AGC4312,M-R Debt Service,,City Administrator — Faith Leach (Finance),false,false,true
AGC4313,M-R Self-Insurance Fund,,City Administrator — Faith Leach (Finance),false,false,true
AGC4314,M-R Conditional Purchase Agreements,,City Administrator — Faith Leach (Finance),false,false,true
AGC4315,M-R TIF Debt Service,,City Administrator — Faith Leach (Finance),false,false,true
AGC4316,M-R Health and Welfare Grants,Health & Welfare Grants (Family Leage & Legal Aid ),"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",false,true,true
AGC4317,M-R Consumer Protection and Business Licensing,Department of Consumer Protection and Business Licensing,Shamiah Kerney — Deputy City Administrator,false,false,true
AGC4321,M-R Educational Grants,Educational Grants (Family League and others),"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",false,true,true
AGC4326,M-R Civic Promotion,Civic Promotion (Visit Baltimore / Live Baltimore / Heritage Area / Lexington Market),Chief of Staff — John David Merrill,false,true,true
AGC4341,M-R Office of the Labor Commissioner,Office of the Labor Commissioner,Shamiah Kerney — Deputy City Administrator,true,false,true
AGC4346,M-R Office of Neighborhood Safety and Engagement,Office of Neighborhood Safety and Engagement,"Samuel Johnson — Asst. Deputy Mayor, Public Safety (Acting)",true,false,true
AGC4356,M-R Art and Culture,Art & Culture (BMA /  Symphony / Zoo / Create Baltimore),"Calvin Young — Deputy Mayor, Community & Economic Development",false,true,true
AGC4361,M-R Convention Complex,Convention Complex (BDC / Convention Center),"Calvin Young — Deputy Mayor, Community & Economic Development",false,true,true
AGC4364,M-R Convention Center Hotel,,"Calvin Young — Deputy Mayor, Community & Economic Development",false,false,true
AGC4366,M-R Cable and Communications,,Chief of Staff — John David Merrill,true,false,true
AGC4371,M-R Baltimore City Public Schools,,Independent — Baltimore City Public Schools,true,false,true
AGC4376,M-R Retirees' Benefits,,City Administrator — Faith Leach (Finance),false,false,true
AGC4377,M-R Employees' Retirement Contribution,,City Administrator — Faith Leach (Finance),false,false,true
AGC4381,M-R Office of Homeless Services,Office of Homeless Services,"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",true,false,true
AGC4383,M-R Environmental Control Board,Environmental Control Board,Shamiah Kerney — Deputy City Administrator,true,true,true
AGC4392,M-R Office of Recovery Programs,Office of Recovery Programs,Shamiah Kerney — Deputy City Administrator,true,false,true
AGC4393,M-R Office of Immigrant Affairs,Office of Immigrant and Multicultural Affairs,Chief of Staff — John David Merrill,true,false,true
AGC4500,M-R Office of Employment Development,Office of Employment Development,"Calvin Young — Deputy Mayor, Community & Economic Development",true,false,true
AGC5500,Office of Equity and Civil Rights,Office of Equity and Civil Rights,Shamiah Kerney — Deputy City Administrator,true,false,true
AGC5700,Planning,,"Calvin Young — Deputy Mayor, Community & Economic Development",true,false,true
AGC5900,Police,,"Samuel Johnson — Asst. Deputy Mayor, Public Safety (Acting)",true,false,true
AGC6100,Public Works,,"Khalil Zaied — Deputy Mayor, Operations",true,false,true
AGC6300,Recreation and Parks,,"Dr. Letitia Dzirasa — Deputy Mayor, Health & Human Services",true,false,true
AGC6500,Sheriff,Sheriff's Office,Independent — Elected Sheriff,true,false,true
AGC6900,State's Attorney,State's Attorney's Office,Independent — Elected State's Attorney,true,true,true
AGC7000,Transportation,,"Khalil Zaied — Deputy Mayor, Operations",true,false,true
AGC7900,Municipal and Zoning Appeals,Board of Municipal and Zoning Appeals,City Administrator — Faith Leach,true,false,true
AGC9900,CAFR Adjustments,,City Administrator — Faith Leach (Finance),false,false,true
